# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.022222816375457,2.974345948691898,0.00019752813867746048,0,3.0,0.0005987537300517289,0.0,0.0,0.0
 0.08925296084782187,2.0341719529055404,2.974345989886742,0.00019752813867746048,0.26775888254346564,3.0,0.0005987537300517289,0.0,0.011121641380429162,0.0
 0.1259552096715797,2.0460198886398415,2.9743461151403077,0.000605717387950573,0.3778656290147391,2.9999999999999996,0.0006322217043921271,0.0,0.015273306734311798,0.0
 0.1539363427343158,2.0577674127944396,2.9743463269561463,0.001033081815991335,0.46180902820294745,3.000000000000001,0.0006668512458701248,0.0,0.019069383541109527,0.0
 0.17737436533404574,2.0694153145854117,2.9743466278378095,0.001480030458390778,0.5321230960021373,3.0,0.0007026641020045219,0.0,0.02275893313568241,0.0
 0.1978914969818495,2.0809643832288365,2.9743470202888482,0.0019469784856991372,0.5936744909455485,2.9999999999999987,0.0007396703854579146,0.0,0.026444078430154394,0.0
 0.2163216610957963,2.0924154079407917,2.974347506812814,0.0024343471910089638,0.6489649832873889,3.0,0.0007779061508755288,0.0,0.03017960097939434,0.0
 0.23316140561194038,2.1037691779373553,2.9743480899132573,0.0029425639611011358,0.6994842168358211,2.999999999999997,0.00081743033698471,0.0,0.03399970161353851,0.0
 0.24873502114810656,2.1150264824346054,2.97434877209373,0.0034720622423747532,0.7462050634443196,2.9999999999999982,0.0008582533460935089,0.0,0.037928080447362456,0.0
 0.263268297065758,2.1261881106486205,2.974349555857783,0.004023281500543152,0.7898048911972739,3.0000000000000018,0.000900421128229833,0.0,0.04198250519208915,0.0
 0.2769260256727162,2.137254851795478,2.974350443708968,0.004596667162696919,0.8307780770181484,2.999999999999996,0.0009439564526806745,0.0,0.046177149078846694,0.0
 0.2898329161007186,2.148227495091256,2.9743514381508365,0.005192670566135126,0.8694987483021557,3.0,0.0009889259515608213,0.0,0.05052389185049695,0.0
 0.3020860954539443,2.159106829752033,2.9743525416869385,0.005811748874602245,0.9062582863618329,3.0000000000000044,0.0010353303167346106,0.0,0.0550330974185558,0.0
 0.3137629985729253,2.1698936449938864,2.974353756820826,0.006454365021496162,0.9412889957187758,3.0,0.0010832245578513266,0.0,0.05971409505085162,0.0
 0.3249265701988896,2.180588730032895,2.97435508605605,0.007120987598675985,0.9747797105966687,2.999999999999995,0.0011326215612712945,0.0,0.06457549690148394,0.0
 0.3356288209541703,2.1911928740851363,2.974356531896162,0.007812090759162518,1.0068864628625107,2.9999999999999947,0.0011835956183471991,0.0,0.06962541045083831,0.0
 0.34591333267226454,2.2017068663666888,2.974358096844713,0.008528154108821287,1.0377399980167934,2.9999999999999947,0.0012361595831237423,0.0,0.07487158443741995,0.0
 0.3558170695212372,2.21213149609363,2.9743597834052546,0.00926966257855513,1.0674512085637113,2.9999999999999942,0.0012903664239028707,0.0,0.08032151290645481,0.0
 0.36537171664943024,2.2224675524820383,2.9743615940813384,0.01003710629117891,1.0961151499482904,2.9999999999999942,0.001346239676911592,0.0,0.08598250636025216,0.0
 0.3746046889189456,2.2327158247479915,2.974363531376514,0.010830980388066546,1.1238140667568364,2.999999999999988,0.0014038224050157537,0.0,0.09186175204834977,0.0
 0.38353990406021754,2.2428771021075673,2.974365597794334,0.01165178490587273,1.1506197121806523,3.0000000000000124,0.0014631756625023218,0.0,0.09796634397646983,0.0
 0.3921983842554079,2.252952173776845,2.9743677958383494,0.012500024554988196,1.1765951527662233,3.0,0.0015242960065855017,0.0,0.1043033181060284,0.0
 0.40059873055724865,2.2629418289719014,2.974370128012111,0.013376208547509894,1.2017961916717457,3.0000000000000067,0.0015872535916980853,0.0,0.11087966967536719,0.0
 0.4087575015668051,2.2728468569088154,2.9743725968191703,0.014280850382006478,1.226272504700415,2.9999999999999933,0.0016520817372045087,0.0,0.11770236865428463,0.0
 0.4166895190041093,2.282668046803664,2.974375204763079,0.015214467622584266,1.2500685570123276,3.000000000000007,0.0017188227438820018,0.0,0.12477836594854597,0.0
 0.4244081167373776,2.292406187872526,2.974377954347388,0.01617758163515564,1.2732243502121325,3.0,0.0017875102491153763,0.0,0.13211460596418692,0.0
 0.43192534557213236,2.3020620693314795,2.974380848075648,0.017170717360601887,1.2957760367163969,3.0000000000000075,0.0018581866137266252,0.0,0.13971802170387287,0.0
 0.4392521430562565,2.3116364803966025,2.974383888451411,0.018194403010508623,1.3177564291687693,3.000000000000015,0.0019308774669665604,0.0,0.14759553831672909,0.0
 0.4463984753501592,2.3211302102839726,2.974387077978228,0.019249169772417418,1.3391954260504775,3.0,0.0020056500814642085,0.0,0.15575407260307172,0.0
 0.4533734565903668,2.3305440482096684,2.9743904191596497,0.020335551506909782,1.3601203697711004,3.000000000000008,0.0020825137214058164,0.0,0.16420052607494853,0.0
 0.4601854499695748,2.3398787833897674,2.974393914499228,0.021454084403394795,1.3805563499087243,3.000000000000008,0.0021615270372583643,0.0,0.1729417795007139,0.0
 0.46684215384971056,2.349135205040348,2.974397566500514,0.02260530661803478,1.4005264615491317,3.0000000000000084,0.0022427161257538757,0.0,0.18198468807565002,0.0
 0.4733506755355285,2.358314102377488,2.974401377667059,0.023789757906861966,1.4200520266065857,3.000000000000017,0.0023261232430877464,0.0,0.19133606909467385,0.0
